"U:0","U:1","U:2","Points:0","Points:1","Points:2"
4.9971,0.00097589,0.0006415,-39.405,-29.404,0.59847
4.9842,0.0043491,0.0028658,-38.445,-29.471,0.50265
4.9993,0.0042833,0.00062649,-39.473,-28.446,0.50129
4.9974,0.00097329,0.0035009,-39.476,-29.475,1.6521
4.9561,0.0064002,0.0050455,-37.491,-29.483,0.48065
4.9928,0.01293,0.0023384,-38.538,-28.539,0.41513
4.9843,0.0038837,0.010965,-38.546,-29.541,1.5143
4.9993,0.0058272,0.00050413,-39.482,-27.498,0.47977
4.9993,0.0037718,0.0033592,-39.542,-28.545,1.5128
4.9979,0.00085019,0.0058469,-39.489,-29.489,2.625
4.9134,0.007833,0.0068428,-36.504,-29.486,0.47402
4.9729,0.021879,0.0046359,-37.523,-28.56,0.40999
4.9587,0.0068994,0.023724,-37.532,-29.537,1.4712
4.9923,0.01855,0.0019871,-38.555,-27.531,0.40984
4.994,0.01169,0.010033,-38.635,-28.637,1.3886
4.986,0.0035507,0.020759,-38.571,-29.539,2.5649
4.9993,0.0072317,0.00045633,-39.484,-26.518,0.4736
4.9994,0.0053723,0.0030324,-39.536,-27.537,1.4703
4.9994,0.0036018,0.0057253,-39.539,-28.573,2.565
4.9981,0.00077463,0.0076496,-39.493,-29.493,3.6114
4.8569,0.0099937,0.010019,-35.512,-29.487,0.47166
4.9392,0.030535,0.0072509,-36.515,-28.566,0.40944
4.919,0.008842,0.034511,-36.521,-29.534,1.4555
4.9718,0.031902,0.0040766,-37.536,-27.546,0.41227
4.9762,0.020811,0.019908,-37.563,-28.639,1.3639
4.962,0.0059663,0.036814,-37.552,-29.527,2.5314
4.9924,0.024507,0.0018176,-38.561,-26.529,0.40925
4.9936,0.017085,0.0093651,-38.635,-27.572,1.3639
4.9947,0.010958,0.018085,-38.641,-28.645,2.5096
4.9878,0.0031563,0.026097,-38.58,-29.537,3.5855
4.9994,0.0088745,0.00043813,-39.485,-25.531,0.4716
4.9994,0.0068037,0.0028438,-39.533,-26.533,1.455
4.9995,0.0053302,0.005504,-39.525,-27.558,2.5316
4.9995,0.0033305,0.0072631,-39.537,-28.582,3.5859
4.9982,0.00070273,0.0088683,-39.494,-29.494,4.5945
4.7846,0.012241,0.01433,-34.522,-29.487,0.47084
4.8915,0.039149,0.010311,-35.515,-28.569,0.40884
4.8662,0.010765,0.049256,-35.519,-29.534,1.4497
4.9377,0.045192,0.0065007,-36.521,-27.552,0.41422
4.9439,0.02892,0.031085,-36.532,-28.638,1.3547
4.9258,0.0079402,0.055174,-36.532,-29.52,2.5163
4.9723,0.043602,0.0038104,-37.542,-26.536,0.41416
4.9747,0.030708,0.018709,-37.573,-27.583,1.3462
4.9787,0.019938,0.034034,-37.58,-28.636,2.4756
4.967,0.0053691,0.044739,-37.561,-29.521,3.5672
4.9929,0.030309,0.0017146,-38.563,-25.535,0.40872
4.9936,0.022727,0.0088488,-38.633,-26.545,1.3544
4.9941,0.016591,0.017407,-38.63,-27.589,2.4758
4.9956,0.010434,0.023927,-38.642,-28.646,3.5596
4.9896,0.0028595,0.030272,-38.583,-29.537,4.5836
4.9994,0.010348,0.0004152,-39.485,-24.546,0.47093
4.9994,0.0083791,0.0026606,-39.532,-25.537,1.4497
4.9994,0.0067669,0.0051968,-39.519,-26.543,2.5162
4.9995,0.0050612,0.007118,-39.52,-27.567,3.5675
4.9996,0.0030656,0.008402,-39.536,-28.585,4.5839
4.9983,0.00066507,0.0099067,-39.494,-29.495,5.5705
4.6954,0.014137,0.020154,-33.535,-29.487,0.47057
4.8282,0.046772,0.014158,-34.523,-28.569,0.40841
4.7993,0.01214,0.066749,-34.525,-29.534,1.4477
4.8892,0.058733,0.0093506,-35.518,-27.554,0.41445
4.8981,0.036224,0.044259,-35.524,-28.638,1.3506
4.8767,0.0094156,0.078222,-35.524,-29.519,2.5103
4.9392,0.063843,0.0061782,-36.524,-26.539,0.41668
4.942,0.044046,0.0294,-36.54,-27.588,1.3386
4.9493,0.027485,0.052188,-36.546,-28.63,2.4584
4.9352,0.0072787,0.075361,-36.538,-29.514,3.5578
4.9742,0.054621,0.0036034,-37.544,-25.537,0.41438
4.9753,0.04214,0.017756,-37.578,-26.554,1.3385
4.9769,0.02936,0.032358,-37.589,-27.599,2.4373
4.982,0.018788,0.0452,-37.588,-28.632,3.536
4.9724,0.0049591,0.055535,-37.565,-29.52,4.575
4.9937,0.035326,0.001602,-38.564,-24.547,0.40833
4.9941,0.028287,0.0083056,-38.633,-25.543,1.3503
4.9941,0.022231,0.016647,-38.624,-26.559,2.4583
4.9949,0.015837,0.023292,-38.627,-27.597,3.5362
4.9964,0.0097222,0.028081,-38.643,-28.647,4.5701
4.9914,0.0024993,0.032005,-38.585,-29.537,5.5662
4.9995,0.011529,0.00038594,-39.486,-23.563,0.47072
4.9995,0.0097719,0.0024598,-39.532,-24.549,1.4479
4.9995,0.0082992,0.0048863,-39.517,-25.542,2.5103
4.9995,0.0065154,0.0068246,-39.512,-26.549,3.5579
4.9996,0.0047277,0.0082788,-39.518,-27.57,4.5752
4.9997,0.0028291,0.0091494,-39.536,-28.586,5.5663
4.9985,0.00059753,0.0099392,-39.494,-29.495,6.5423
4.5893,0.014494,0.027281,-32.548,-29.487,0.4705
4.7468,0.051141,0.019013,-33.535,-28.57,0.40822
4.7175,0.012344,0.088343,-33.536,-29.534,1.4471
4.8231,0.071918,0.012947,-34.524,-27.555,0.41422
4.8376,0.041957,0.060379,-34.528,-28.639,1.3488
4.8149,0.010682,0.1105,-34.527,-29.518,2.5082
4.8917,0.085781,0.0089171,-35.519,-26.54,0.41699
4.8953,0.057407,0.042087,-35.529,-27.589,1.335
4.9074,0.033911,0.073827,-35.533,-28.628,2.4509
4.893,0.0088487,0.10799,-35.527,-29.511,3.5538
4.9433,0.081134,0.0058505,-36.525,-25.539,0.41695
4.9435,0.062383,0.02807,-36.544,-26.559,1.3301
4.947,0.042014,0.049683,-36.556,-27.602,2.4153
4.9568,0.025948,0.069295,-36.553,-28.624,3.5216
4.9459,0.0067199,0.08635,-36.54,-29.512,4.5702
4.977,0.064036,0.0033511,-37.544,-24.549,0.41411
4.977,0.05297,0.016693,-37.579,-25.548,1.3346
4.9773,0.040452,0.030728,-37.593,-26.57,2.4151
4.9802,0.027795,0.043344,-37.597,-27.606,3.5047
4.9856,0.017445,0.053056,-37.592,-28.631,4.556
4.9777,0.0045133,0.057685,-37.566,-29.519,5.5626
4.9946,0.039283,0.0014736,-38.564,-23.564,0.40813
4.9947,0.033064,0.0077,-38.633,-24.551,1.3484
4.9944,0.027696,0.015692,-38.622,-25.551,2.4506
4.9948,0.021271,0.022403,-38.619,-26.566,3.5216
4.9958,0.014884,0.027447,-38.626,-27.6,4.5561
4.9973,0.0088909,0.030555,-38.644,-28.648,5.5593
4.9934,0.0022805,0.033552,-38.585,-29.537,6.5409
4.9996,0.012344,0.00035195,-39.486,-22.581,0.47066
4.9996,0.01088,0.0022405,-39.532,-23.564,1.4473
4.9995,0.0096605,0.0045377,-39.517,-24.551,2.5082
4.9995,0.0080127,0.0064449,-39.51,-25.544,3.5537
4.9996,0.0061411,0.007981,-39.51,-26.551,4.5703
4.9997,0.0043821,0.008974,-39.518,-27.571,5.5627
4.9998,0.0026011,0.0093733,-39.536,-28.587,6.5409
4.9986,0.0005507,0.010192,-39.494,-29.495,7.5125
4.4684,0.010031,0.035705,-31.561,-29.487,0.47049
4.6436,0.047868,0.02515,-32.548,-28.569,0.40819
